client_id snapshot_id seq_num server_timestamp_ms recv_time_ms cpu_percent perceived_position_error bandwidth_per_client_kbps
1 0 0 1766619978079 1766619978088 0.0 0.0 22.238745040680136
2 0 0 1766619978352 1766619978401 41.9 0.0 46.75549942864857
1 0 1 1766619978388 1766619978413 50.0 0.0 6.892676570788455
2 0 1 1766619978389 1766619978422 63.6 0.0 32.57930740131026
2 0 2 1766619978395 1766619978447 42.9 0.0 24.089925419147768
1 0 2 1766619978392 1766619978464 75.0 0.0 5.9943185128361405
1 0 3 1766619982048 1766619982062 31.6 0.0 1.5119232527947242
2 0 3 1766619982049 1766619982075 66.7 0.0 1.6178355790565984
1 0 4 1766619982052 1766619982130 83.3 0.0 1.4864843080268368
2 0 4 1766619982052 1766619982175 41.7 0.0 1.5757258886034546
1 0 5 1766619983079 1766619983093 29.8 0.0 1.9414546550109562
2 0 5 1766619983080 1766619983111 46.2 0.0 2.045393522789707
1 0 6 1766619983082 1766619983166 74.0 0.0 1.9134568952425446
2 0 6 1766619983085 1766619983188 56.0 0.0 2.0132370696676296
1 0 7 1766619984900 1766619984912 33.4 0.0 1.967911449602191
2 0 7 1766619984901 1766619984922 64.3 0.0 2.0466794659394876
1 0 8 1766619984904 1766619984967 60.9 0.0 1.952164517716728
2 0 8 1766619984905 1766619985202 40.9 0.0 1.9630454030248266
1 0 9 1766619986291 1766619986309 29.3 0.0 2.0847156265003735
2 0 9 1766619986293 1766619986323 83.3 0.0 2.152620939590836
1 0 10 1766619986301 1766619986382 100.0 0.0 2.0665131130834933
2 0 10 1766619986302 1766619986747 32.5 0.0 2.043969312114228
1 0 11 1766619987411 1766619987421 46.6 0.0 2.2340489928158327
2 0 11 1766619987412 1766619987430 23.1 0.0 2.2989635380474622
2 0 12 1766619987415 1766619987686 42.4 0.0 2.2360153335354025
1 0 12 1766619987414 1766619988395 29.9 0.0 2.022956494154193
1 0 13 1766619989141 1766619989153 44.5 0.0 2.219664831131441
2 0 13 1766619989142 1766619989162 27.3 0.0 2.2740172430759236
2 0 14 1766619989149 1766619989237 60.0 0.0 2.2583478224798372
1 0 14 1766619989148 1766619989729 39.2 0.0 2.1100310082122835
1 0 15 1766619993095 1766619993112 30.4 0.0 1.8821644944673823
2 0 15 1766619993097 1766619993128 66.7 0.0 1.9149465852130148
2 0 16 1766619993102 1766619993202 56.4 0.0 1.9054325926676583
1 0 16 1766619993099 1766619993223 50.0 0.0 1.8683701244782707
1 0 17 1766619994322 1766619994356 28.8 0.0 1.9663605202988572
2 0 17 1766619994324 1766619994368 83.3 0.0 1.9984830494752839
1 0 18 1766619994333 1766619994390 46.7 0.0 1.962162622981661
2 0 18 1766619994334 1766619994428 57.1 0.0 1.9909299943647953
1 0 19 1766619995585 1766619995609 20.7 0.0 2.0375599318857396
2 0 19 1766619995585 1766619995633 63.2 0.0 2.0669885495151106
2 0 20 1766619995595 1766619995726 51.2 0.0 2.055851119370682
1 0 20 1766619995589 1766619995827 48.3 0.0 2.0125448565042006
1 0 21 1766619996563 1766619996581 21.9 0.0 2.131148636262268
2 0 21 1766619996565 1766619996589 0.0 0.0 2.162087240583036
2 0 22 1766619996574 1766619996632 41.0 0.0 2.157081919444531
1 0 22 1766619996570 1766619996683 50.0 0.0 2.119465322632577
1 0 23 1766619997837 1766619997865 31.3 0.0 2.180420812288365
2 0 23 1766619997849 1766619997881 83.3 0.0 2.2091189869388206
2 0 24 1766619997855 1766619997959 75.8 0.0 2.20042394346661
1 0 24 1766619997852 1766619998135 87.9 0.0 2.1510778218292463
1 0 25 1766620023359 1766620023372 31.9 0.0 1.0344847113971256
2 0 25 1766620023361 1766620023388 46.2 0.0 1.0404073831835539
2 0 26 1766620023367 1766620023467 41.2 0.0 1.038588007784557
1 0 26 1766620023366 1766620023481 41.7 0.0 1.0320088127264182
1 0 27 1766620024504 1766620024512 76.3 0.0 1.0890317316528868
2 0 27 1766620024505 1766620024520 53.8 0.0 1.0952918047962887
1 0 28 1766620024506 1766620024568 62.2 0.0 1.0877064034908668
2 0 28 1766620024507 1766620024682 60.0 0.0 1.0914526965402362
1 0 29 1766620025933 1766620025962 26.4 0.0 1.133575508647392
2 0 29 1766620025938 1766620025976 84.6 0.0 1.1397424226258055
1 0 30 1766620025952 1766620026035 74.0 0.0 1.1318549434580425
2 0 30 1766620025955 1766620026210 97.8 0.0 1.1341657289795959
